degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,774.5228426395939,1.9187817258883249,0.9187817258883249,0.0005668934240362801,0.9187817258883249
2,742.2125,2.95,0.95,0.0011337868480725617,1.8687817258883248
3,738.6161616161617,4.05050505050505,1.0505050505050506,0.0017006802721088448,2.9192867763933754
4,643.1071428571429,5.660714285714286,1.6607142857142858,0.0022675736961451235,4.5800010621076614
5,424.7142857142857,7.809523809523809,2.8095238095238093,0.0028344671201814063,7.389524871631471
6,725.3076923076923,7.0,1.0,0.003401360544217687,8.38952487163147
7,269.09090909090907,10.090909090909092,3.090909090909091,0.003968253968253968,11.480433962540562
8,589.25,12.0,4.0,0.00453514739229025,15.480433962540562
9,508.6,12.4,3.4,0.005102040816326529,18.88043396254056
10,339.0,12.75,2.75,0.005668934240362812,21.63043396254056
11,547.0,11.0,0.0,0.006235827664399093,21.63043396254056
12,352.2,17.4,5.4,0.006802721088435373,27.030433962540563
13,386.3333333333333,19.666666666666668,6.666666666666667,0.0073696145124716545,33.69710062920723
14,151.66666666666666,21.0,7.0,0.007936507936507936,40.69710062920723
16,466.0,27.666666666666668,11.666666666666666,0.0090702947845805,52.36376729587389
18,425.5,23.5,5.5,0.010204081632653059,57.86376729587389
24,14.0,42.0,18.0,0.013605442176870748,75.86376729587388
