degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,235.07142857142858,1.2619047619047619,0.2619047619047619,0.0004122011541632316,0.2619047619047619
2,190.97560975609755,2.048780487804878,0.04878048780487805,0.0008244023083264632,0.31068524970963995
3,156.22641509433961,3.0,0.0,0.0012366034624896947,0.31068524970963995
4,221.0597014925373,4.044776119402985,0.04477611940298507,0.0016488046166529267,0.35546136911262505
5,198.06,5.44,0.44,0.002061005770816156,0.7954613691126251
6,232.94117647058823,6.352941176470588,0.35294117647058826,0.00247320692497939,1.1484025455832134
7,210.6315789473684,7.0,0.0,0.0028854080791426216,1.1484025455832134
8,214.5142857142857,8.0,0.0,0.0032976092333058533,1.1484025455832134
9,197.1851851851852,9.0,0.0,0.0037098103874690824,1.1484025455832134
10,271.29411764705884,10.0,0.0,0.004122011541632316,1.1484025455832134
11,251.0,12.76923076923077,1.7692307692307692,0.004534212695795548,2.9176333148139824
12,214.35714285714286,12.0,0.0,0.00494641384995878,2.9176333148139824
13,277.0,13.0,0.0,0.0053586150041220115,2.9176333148139824
14,209.0,14.0,0.0,0.005770816158285243,2.9176333148139824
15,298.625,15.0,0.0,0.006183017312448475,2.9176333148139824
16,142.0,16.0,0.0,0.006595218466611707,2.9176333148139824
17,88.5,17.0,0.0,0.007007419620774938,2.9176333148139824
19,169.5,19.0,0.0,0.007831821929101401,2.9176333148139824
21,299.5,21.0,0.0,0.008656224237427864,2.9176333148139824
27,32.0,27.0,0.0,0.011129431162407256,2.9176333148139824
