degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,102.16,1.72,0.72,0.00862068965517241,0.72
2,75.81818181818181,2.5454545454545454,0.5454545454545454,0.01724137931034483,1.2654545454545454
3,97.11111111111111,5.444444444444445,2.4444444444444446,0.02586206896551724,3.7098989898989903
4,72.33333333333333,7.333333333333333,3.3333333333333335,0.03448275862068965,7.043232323232324
5,79.0,7.5,2.5,0.04310344827586207,9.543232323232324
7,5.0,17.0,10.0,0.0603448275862069,19.543232323232324
13,109.0,15.0,2.0,0.11206896551724138,21.543232323232324
