degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,431.2810650887574,1.165680473372781,0.16568047337278108,0.00023201856148491885,0.16568047337278108
2,414.5530303030303,2.143939393939394,0.14393939393939395,0.0004640371229698366,0.30961986731217506
3,432.24590163934425,3.1475409836065573,0.14754098360655737,0.0006960556844547571,0.45716085091873243
4,476.45714285714286,4.285714285714286,0.2857142857142857,0.0009280742459396755,0.7428751366330182
5,435.55555555555554,5.388888888888889,0.3888888888888889,0.001160092807424594,1.131764025521907
6,409.22727272727275,6.363636363636363,0.36363636363636365,0.0013921113689095122,1.4954003891582706
7,437.1034482758621,7.137931034482759,0.13793103448275862,0.0016241299303944305,1.6333314236410292
8,397.7142857142857,8.357142857142858,0.35714285714285715,0.0018561484918793506,1.9904742807838864
9,370.73333333333335,9.8,0.8,0.0020881670533642693,2.7904742807838865
10,532.6666666666666,10.25,0.25,0.002320185614849188,3.0404742807838865
11,326.6,11.0,0.0,0.0025522041763341072,3.0404742807838865
12,381.6666666666667,12.166666666666666,0.16666666666666666,0.0027842227378190245,3.207140947450553
13,502.8333333333333,13.166666666666666,0.16666666666666666,0.003016241299303945,3.3738076141172195
14,584.3333333333334,15.0,1.0,0.0032482598607888632,4.3738076141172195
15,284.25,15.0,0.0,0.0034802784222737818,4.3738076141172195
16,450.5,16.5,0.5,0.0037122969837587007,4.8738076141172195
18,455.0,19.0,1.0,0.004176334106728539,5.8738076141172195
19,232.75,21.5,2.5,0.004408352668213457,8.373807614117219
20,354.0,20.333333333333332,0.3333333333333333,0.004640371229698376,8.707140947450553
21,704.5,21.0,0.0,0.0048723897911832955,8.707140947450553
22,529.5,22.0,0.0,0.0051044083526682145,8.707140947450553
23,389.6,23.0,0.0,0.0053364269141531325,8.707140947450553
24,394.0,24.0,0.0,0.005568445475638051,8.707140947450553
25,552.5,25.0,0.0,0.0058004640371229705,8.707140947450553
26,499.0,28.0,2.0,0.006032482598607889,10.707140947450553
27,855.0,32.0,5.0,0.0062645011600928075,15.707140947450553
29,674.0,46.666666666666664,17.666666666666668,0.006728538283062645,33.37380761411722
32,402.5,32.0,0.0,0.007424593967517401,33.37380761411722
33,357.0,33.0,0.0,0.00765661252900232,33.37380761411722
34,629.5,34.0,0.0,0.007888631090487241,33.37380761411722
35,467.55555555555554,35.0,0.0,0.008120649651972156,33.37380761411722
36,441.5,36.0,0.0,0.008352668213457077,33.37380761411722
37,507.5,37.5,0.5,0.008584686774941995,33.87380761411722
38,251.5,38.0,0.0,0.008816705336426912,33.87380761411722
39,849.0,39.0,0.0,0.009048723897911832,33.87380761411722
40,274.5,40.0,0.0,0.009280742459396751,33.87380761411722
42,222.0,42.0,0.0,0.009744779582366591,33.87380761411722
63,474.0,63.0,0.0,0.014617169373549885,33.87380761411722
70,144.0,73.0,3.0,0.016241299303944315,36.87380761411722
