E_inverse,average_error,error_std,E,accuracy
0.001996007984031936,0.07542519750917327,0.002313552619293173,500,0.6
0.001,0.05635699999999999,0.0015871366040766624,1000,0.6
0.0005012531328320802,0.04075662841313811,0.0003875464353698051,2000,0.6
0.00019956096587507482,0.026548936183939536,0.0003400778742239824,5000,0.6
0.0001,0.0189458,0.00015610421800835546,10000,0.6
0.001996007984031936,0.051210951350791435,0.001373977914493588,500,0.65
0.001,0.0375282,0.0009532027905959988,1000,0.65
0.0005012531328320802,0.02721234163101991,0.0005071763211455361,2000,0.65
0.00019956096587507482,0.01745005529841931,0.0001908260930473733,5000,0.65
0.0001,0.012363346,9.33821392130206e-05,10000,0.65
0.001996007984031936,0.037653236441289074,0.0013647524483308097,500,0.7
0.001,0.027190600000000002,0.000977578252622265,1000,0.7
0.0005012531328320802,0.01944671201814059,0.000377819830228507,2000,0.7
0.00019956096587507482,0.01265320067553637,0.0001144585454380135,5000,0.7
0.0001,0.008981798000000001,7.2295241586151e-05,10000,0.7
0.001996007984031936,0.029544902211544974,0.0006728531998310513,500,0.75
0.001,0.0208486,0.0005641624234207741,1000,0.75
0.0005012531328320802,0.014963473847526084,0.0002963371934423138,2000,0.75
0.00019956096587507482,0.009570212744096295,0.00010487384547012353,5000,0.75
0.0001,0.00677782,2.680379674598349e-05,10000,0.75
0.001996007984031936,0.02219752112541384,0.0009693135254318043,500,0.8
0.001,0.0162694,0.00043608994485083073,1000,0.8
0.0005012531328320802,0.011467917915088477,0.00018077604606340724,2000,0.8
0.00019956096587507482,0.0073510995825149545,8.375569520904226e-05,5000,0.8
0.0001,0.005243225999999999,2.7614742511926476e-05,10000,0.8
0.001996007984031936,0.016668459488209213,0.0006210459774030875,500,0.85
0.001,0.0122156,0.00031914360404056375,1000,0.85
0.0005012531328320802,0.00875130181343082,0.00011231097597873204,2000,0.85
0.00019956096587507482,0.005628901589124161,5.5232735029217846e-05,5000,0.85
0.0001,0.004009508,3.931572021469272e-05,10000,0.85
0.001996007984031936,0.012537001844614166,0.00040499879748496695,500,0.9
0.001,0.0091192,0.00018722222090339642,1000,0.9
0.0005012531328320802,0.006473577427277467,9.802057503497016e-05,2000,0.9
0.00019956096587507482,0.004140250857413231,5.457031682974483e-05,5000,0.9
0.0001,0.00294775,1.513467607846303e-05,10000,0.9
0.001996007984031936,0.00795614360102151,0.0003839969106296077,500,0.95
0.001,0.005773800000000001,0.00019417404563947243,1000,0.95
0.0005012531328320802,0.00420545097078536,6.15168600049504e-05,2000,0.95
0.00019956096587507482,0.0026668449745821613,2.046965390415695e-05,5000,0.95
0.0001,0.001902488,1.402834330917241e-05,10000,0.95
