ratio_pair,best_feature,best_feature_std,node2vec,node2vec_std,collection_feature,collection_feature_std,line,line_std,struct2vec,struct2vec_std,deepwalk,deepwalk_std,sdne,sdne_std,ensemble,ensemble_std,ratio_all
0.01,0.6184564719358534,0.20964115017741616,0.5691981672394043,0.1853981239733274,0.7125773195876288,0.16973330982051987,0.5659545628102328,0.10653312857766414,0.613130966017564,0.15128219123822884,0.6064604810996563,0.13607843125577335,0.4728722794959909,0.14136688857711724,0.6143871706758305,0.14475554398389553,0.005161290322580643
0.02,0.7200163022631377,0.16806862454676857,0.6729267357115459,0.11792615452189903,0.7970521672420408,0.11677681918460739,0.6083659378596087,0.10164436801321196,0.6818584579976984,0.12267357437799267,0.6940410433448408,0.11919912184600168,0.5669227080935942,0.13876697556248987,0.6625642500958957,0.12812471089402935,0.006193548387096775
0.03,0.7682292870905588,0.12676861378176024,0.7175260115606936,0.1048537773927175,0.8415597302504817,0.06885276842727919,0.645402697495183,0.08586536321308857,0.7279248554913295,0.10280315088709224,0.7380154142581888,0.09065855404916069,0.6197591522157996,0.13773590886315792,0.7032909441233142,0.11582297630140581,0.007225806451612901
0.04,0.797459349593496,0.08691836409041041,0.7520421989934185,0.07940442815098198,0.8648151374370887,0.053774986946164685,0.6747386759581883,0.07617224535906829,0.768929539295393,0.07973855871353518,0.7634959349593496,0.08292343841175787,0.6591666666666667,0.12109228274207814,0.7208710801393728,0.10573867012596144,0.008258064516129034
0.05,0.8097569039284326,0.07368098113101314,0.7643387786853365,0.08143122860894197,0.8709616880591208,0.045964640089850135,0.6936503306106573,0.07216839583838816,0.7800563982886037,0.07389793220349015,0.7911571373006612,0.0680629584623062,0.7027372617658498,0.10856560634418744,0.7517716841695837,0.09780983760581241,0.009290322580645159
0.06,0.8157669011332551,0.061796292223319386,0.7816432200078156,0.0718663593981763,0.8822254787026181,0.03964493983976587,0.6901660805001953,0.07607196737528663,0.7993083235638923,0.06770339197379843,0.806611957796014,0.060280451732727426,0.7255597889800703,0.09314023740924396,0.7571297381789761,0.09619958566531572,0.010322580645161287
0.07,0.8250009815469179,0.04042800015193903,0.7971358460934432,0.0737859882864096,0.8859884177463683,0.03372368776772867,0.71226148409894,0.06883785874999539,0.8108833922261484,0.06480726997781978,0.8137985865724381,0.06322141485759,0.7470828425598743,0.09199233880625746,0.7769199057714958,0.0871945055927573,0.01135483870967742
0.08,0.8289397542608005,0.026244558518922753,0.8061117717003566,0.06845945163433714,0.8845848196591358,0.03874688112030744,0.7194094332144273,0.0683360243083949,0.8242845818470075,0.059368113617676306,0.8269421323820848,0.050451341371999116,0.762671422909235,0.08292774200820817,0.7967816091954022,0.08218864761723632,0.013419354838709676
0.09,0.8297640382317802,0.034580471438292924,0.8102986857825567,0.0686847590476605,0.894390681003584,0.03058582801810444,0.7352927120669057,0.06593886878859112,0.8350199123855039,0.05074834219064441,0.8337893269613701,0.041871531051195086,0.784852648347272,0.07591964830384848,0.8218697729988054,0.06176450463604549,0.014451612903225802
0.1,0.8279591836734694,0.027312863098432366,0.8208663465386156,0.067422735697234,0.8959153661464586,0.02713554501808826,0.7377611044417767,0.06239661923164697,0.8340016006402561,0.053200443164285356,0.8344817927170868,0.04648602489626795,0.7866346538615446,0.06906485213078552,0.8145678271308524,0.06895965067971377,0.015483870967741932
0.2,0.8357119963369964,0.02935576996636375,0.8503411172161172,0.06851222541626728,0.9108585164835165,0.01828367438698471,0.8021703296703296,0.049607686842762864,0.853136446886447,0.053807881752374914,0.8584386446886447,0.04162919233176415,0.832272206959707,0.041128418820747296,0.8761904761904761,0.041502741787054986,0.02683870967741935
0.3,0.833375,0.03157021265125474,0.8663774509803922,0.05860728614951908,0.9118419117647059,0.023579410056479188,0.7976973039215687,0.04349050885563878,0.8560171568627452,0.049065920218260124,0.8711789215686275,0.03323804313273772,0.8430220588235294,0.03421158125060382,0.8844558823529413,0.039887929616185196,0.0392258064516129
0.4,0.8287287104622871,0.0388829729517894,0.886021897810219,0.0498498175196955,0.9077083333333333,0.023290762349805004,0.8029744525547445,0.05146498794514378,0.8481706204379562,0.057219028037410524,0.8734397810218978,0.04104486699306953,0.8644449513381997,0.0339349971478153,0.9125121654501216,0.034440425283662646,0.05729032258064515
0.5,0.8259946506185222,0.04114888252446431,0.881765295887663,0.052687218002330984,0.90405382815112,0.025552117038258833,0.7927382146439318,0.054239844085991404,0.8412688064192578,0.0680613438724674,0.8720896021397525,0.0425074226400962,0.8640404546974256,0.033896484376147125,0.9053727850217319,0.04361239021968844,0.07006451612903228
0.6,0.8296908271908272,0.04926126782948455,0.8980958230958231,0.048974164622746015,0.9031040131040131,0.031390605333178445,0.79744266994267,0.06557207251449322,0.8418693693693694,0.05894939171695677,0.8799037674037674,0.04317290373479746,0.8793181818181819,0.03842343777099184,0.9095085995085996,0.04627843755178347,0.0936774193548387
0.7,0.8411310649023314,0.0558803118949702,0.9142218021424071,0.033065337170513014,0.9184278512917454,0.04041691483548696,0.8847511027095148,0.06821125308959718,0.8917706364209201,0.05389001960216371,0.9098046628859483,0.04059467957643669,0.9102110901071203,0.04508552840211533,0.9358790170132325,0.045122478694446376,0.1304516129032258
0.8,0.8226363636363637,0.07255396519734181,0.9055238095238095,0.04040837989477285,0.9001082251082251,0.05694657931066291,0.8593809523809525,0.09455913144577834,0.8703549783549783,0.07606410417045897,0.8915584415584416,0.05619246056034909,0.8923116883116884,0.06422171286073008,0.9131168831168831,0.07092324201119815,0.14903225806451606
0.9,0.8516666666666667,0.08540521121668271,0.9296969696969698,0.050212106008283096,0.9457109557109555,0.04272453851266807,0.9473426573426572,0.038452488869671654,0.9323776223776225,0.04356729412059276,0.9549184149184149,0.03888125862920892,0.943041958041958,0.051998767557252995,0.9768764568764569,0.02966273509480248,0.18025806451612905
