ratio_pair,best_feature,best_feature_std,node2vec,node2vec_std,collection_feature,collection_feature_std,line,line_std,struct2vec,struct2vec_std,deepwalk,deepwalk_std,sdne,sdne_std,ensemble,ensemble_std,ratio_all
0.01,0.5210251740395908,0.04489769606514673,0.5309909618559684,0.05253081841284914,0.5171984306650101,0.04416034469833424,0.5005923303433133,0.03458863221717395,0.5099760004085038,0.028658245966505687,0.5253706319892426,0.04779820747928505,0.5335819815832921,0.04686596305657531,0.5414699324266821,0.0497106414382668,0.00031346979718504126
0.02,0.5130281086639815,0.04710643699767022,0.5454683349044477,0.052645385441566835,0.5231039506384438,0.0388332804409178,0.5229496957751307,0.022835062027792914,0.5284763047390522,0.028802945480211464,0.5265172679749763,0.04935739509406542,0.5591567400805554,0.039844812918653494,0.5549095895106694,0.0442164790433219,0.0005328986552145702
0.03,0.5002388016188777,0.04614969206365118,0.541219646041981,0.03820364333225811,0.5409898477157362,0.03525827984975996,0.5289708807792564,0.029259120353988012,0.5310810810810811,0.036821162585007956,0.5297640279873781,0.03760123218497054,0.5611662265056935,0.0412836310206446,0.5602663259706409,0.03829794571824973,0.0008777154321181152
0.04,0.5182961469149576,0.038119612441365996,0.5596395777911268,0.052228058869796576,0.5494906890929375,0.04073476423808034,0.542598472496353,0.03452821133912203,0.5334557624646015,0.04834307950038747,0.5540942246631768,0.038326968172724504,0.5622307560284904,0.04233183300558364,0.5634102806144341,0.04248336936289316,0.0013688181143746802
0.05,0.5172021801193875,0.04349055289572795,0.5747560342590189,0.03817020746905077,0.5337992040833981,0.04073097955893464,0.5656955618998183,0.032167928270567206,0.5383476079245608,0.035922309881423024,0.5772389480058828,0.039856787296149936,0.5732788303486459,0.042899138998054094,0.5830668742970845,0.03987421022122267,0.0019330637493077535
0.06,0.5276514363932495,0.03199146015819445,0.5939416779290986,0.03593487235122098,0.5497829815989188,0.03737686021555826,0.5696252209169352,0.02915542610009838,0.5536005128738262,0.030977813069729524,0.5985376165228541,0.037409610412571674,0.5924801607928752,0.04915350106666126,0.5977293204421804,0.03364892066460857,0.002779432201707365
0.07,0.5252037701819191,0.04013925986093626,0.5754114423460451,0.03493613398314667,0.5615429304753481,0.03291804994441042,0.5691548306539723,0.028237275710294947,0.5462809774031874,0.028132442885796558,0.5912461196954719,0.030854013052649523,0.5966481972842205,0.03349803499524499,0.6021235454277439,0.02694884222394779,0.003312330856921936
0.08,0.5409120917303685,0.02022896712212624,0.5835927727588603,0.04369608243014595,0.5836175295343989,0.025011382856451967,0.5957796212647672,0.023550625033178958,0.5822202918693538,0.02548306548841865,0.6072815323141071,0.037357204587668766,0.6152736275191105,0.032354331953133704,0.6280472550382209,0.027331806519446517,0.004388577160590576
0.09,0.5117532219072299,0.03909966965917616,0.5910351844444057,0.02816997894872906,0.5610310103135816,0.030880965611513208,0.5836630606814269,0.02526400351276912,0.565801259196132,0.025172414466636463,0.5881067707880411,0.03270453507746479,0.604693288345479,0.04085971061756671,0.6075125658730021,0.03463227690329627,0.005046863734679163
0.1,0.5178803845281503,0.03726571728637808,0.6052323045518782,0.04242470219047013,0.5757401817959766,0.03267765887389207,0.6015047891550499,0.027378177433317802,0.5958982500828724,0.029489241627764888,0.5943542055585602,0.03956495425372904,0.6326718076661374,0.031162900656610246,0.636669748940105,0.042250833448259445,0.006927682517789412
0.2,0.5276328815450798,0.04063899726448028,0.6329337437226632,0.023250894274890882,0.5701783753622407,0.026944989147934577,0.6252677430386809,0.02803893990857499,0.6318537718019331,0.014866398423992554,0.6350612884065013,0.025328220343157837,0.661816692765988,0.023628257388054217,0.6737656820922656,0.014499208371894976,0.025317910619311827
0.3,0.5462600559137332,0.004269731851795215,0.6695079971852952,0.0263424951775279,0.5984224339590346,0.012836419579451374,0.6645765580723074,0.03108532324337924,0.6511382438523421,0.02956401613350187,0.6674901580418783,0.028109953429629506,0.6915311614461497,0.013356867356492049,0.7138928510298397,0.015005988576968242,0.05641411450006795
0.4,0.5344132721322273,0.03187609884046077,0.7230059897495009,0.013388607752417146,0.6071918160673487,0.015732268148140088,0.7066298911141756,0.016642722245673362,0.6936891505259042,0.016073995997437,0.7188954984253751,0.022215334262481297,0.71543544038038,0.018674057310853087,0.760840211596649,0.014154765056341554,0.09818918947159436
0.5,0.5506841439576865,0.004136728943948502,0.7382361733931241,0.024383936853563937,0.6140692192710129,0.014335001260972764,0.7400482925146602,0.01644599859942406,0.7237806140048293,0.01291904546056502,0.7393434517649765,0.023720948704630734,0.7194354375071864,0.01978177730563973,0.7781533862251351,0.018718937507482512,0.15145815700657247
0.6,0.5493063141795936,0.009791132830985016,0.7441227878523049,0.025541175323899316,0.6112191391741315,0.012747151739342093,0.7570843347170635,0.02489515487296183,0.7505462093074067,0.022913971963709253,0.7444368582040639,0.024679988854307545,0.7253864430849901,0.01735914842304243,0.7921018134149006,0.01654083851855738,0.22323229156870728
0.7,0.5396466721446179,0.013061148972488475,0.7603259380991509,0.026541707243591842,0.6130392358258011,0.01546513676002349,0.7810736784442618,0.016776527535169075,0.7695443029307041,0.021571576893996115,0.7597336346206519,0.025174421583929983,0.737465762804711,0.014718706836528622,0.8159545330046563,0.014526920634627677,0.30063843348693364
0.8,0.5445542369556688,0.024567164797725857,0.7872548058061984,0.025667867460796304,0.6117276382895253,0.02035829849765768,0.8066202432326403,0.029684722032346327,0.7892065515888584,0.021631712151172044,0.7775745390349157,0.02552445930900796,0.7496297567673598,0.026170329818325577,0.845419772459788,0.0271600341217403,0.3927567578863775
0.9,0.5449236925367578,0.03179775198330911,0.7865531360506235,0.03214492021172634,0.6250651405174018,0.02337896125414332,0.8262516285129351,0.0332462212973682,0.7797599106644333,0.03241790027294877,0.796212544202494,0.021431876731346184,0.7598687883863764,0.026462006887715484,0.8584682672622372,0.020129452393061482,0.4935477466746079
