ratio_pair,best_feature,best_feature_std,node2vec,node2vec_std,collection_feature,collection_feature_std,line,line_std,struct2vec,struct2vec_std,deepwalk,deepwalk_std,sdne,sdne_std,ensemble,ensemble_std,ratio_all
0.01,0.5169308662741213,0.03398299001972531,0.5535827311373372,0.02694512055610388,0.517130276625229,0.018885274783004325,0.5185297192784585,0.01670765472109791,0.5078110902449009,0.017449730263930038,0.5479948784467527,0.029274336032350908,0.5238708606898521,0.020638399412556897,0.5423012662698556,0.02937680308183329,9.54233645599115e-05
0.02,0.5218155436868845,0.02483654361431601,0.5711316439391813,0.025546112894509504,0.523967415387231,0.015936788485724933,0.5220301453426549,0.009820231244903044,0.5204953514091839,0.01235135865256042,0.5578837874037452,0.017715069618119996,0.5416991471205622,0.019497680165162477,0.5542542715398814,0.020492052543381233,0.00039076571865928513
0.03,0.5280585946582379,0.028897929338637107,0.5874009752626214,0.022254116754043755,0.5294760722039401,0.014500166805498416,0.5285607442895989,0.010629901604751961,0.5248809087237098,0.015228219273199837,0.5772534801907654,0.01759014326205689,0.5554990937301831,0.01694395842603627,0.5795722177880978,0.024970492437811413,0.0008860850452453361
0.04,0.5302083974519979,0.023356378235085604,0.6096935198893103,0.02269285285558158,0.538415335343359,0.0114048759128271,0.5394646738240635,0.009367975927873784,0.5374295153269114,0.010141608099853476,0.6067447674629355,0.021577806445419033,0.5659562450939981,0.0131273703463922,0.6018376448907696,0.02748111930356227,0.0015810003135220793
0.05,0.5333423380547665,0.01637908549653808,0.6245099660366082,0.01751702663427727,0.5373918802135618,0.015058567964502865,0.5414396309050906,0.010079792603671653,0.5405020549338128,0.009090282839775954,0.6150740519070601,0.013638093255114378,0.5786338767802532,0.012942181890649893,0.6185326776074911,0.01683986188548316,0.0024761721149238578
0.06,0.5392598450381225,0.012513452823689403,0.6373758971022329,0.018931274097640803,0.536963630327066,0.012602296189870375,0.5484962353596801,0.009262991858829901,0.546446930807702,0.010549327436217936,0.6266376485459819,0.019015841748022382,0.5775073256401414,0.01981161951709084,0.6238906265293592,0.028096165341355287,0.003571623228465651
0.07,0.535723829716092,0.01903029506422343,0.6568168966128488,0.017284855789833752,0.5433551970971193,0.01418625618042942,0.5578588567910314,0.010254393170082834,0.5545101155638209,0.01047965510564931,0.6485296103399785,0.014792758576212029,0.5919100008599505,0.016040791437189,0.6493369817736251,0.02657676220931473,0.004866521184691012
0.08,0.5426064415805205,0.0047513263589726035,0.6649036688450763,0.015201190997017219,0.5442985265156901,0.009619159952924054,0.5592406437892312,0.011424999997167446,0.5581146558531295,0.007309018713670336,0.6559913600233147,0.01508455082106778,0.6050635032054748,0.014823597969335382,0.6536442494089639,0.024689928142285815,0.006361520362575653
0.09,0.542033870564735,0.010018945581665883,0.6724386074349686,0.014532889938817784,0.5524793383231124,0.01066033297435157,0.5714977954150213,0.008529795033457497,0.5638437628730035,0.008520332765223999,0.6731463078068134,0.014365798847773366,0.6080269521255791,0.01226362804832484,0.6713393159269876,0.016734304884258155,0.008056658036871356
0.1,0.5400697972291868,0.0044952876559512045,0.6761830105795305,0.012036379947586938,0.5514094962784448,0.006254395355588102,0.5741926191978894,0.009842861197599456,0.5666020044965122,0.01046936225742563,0.6762801465319928,0.0148875444942992,0.6141152912793146,0.009728541411827562,0.678581604094557,0.021699042534998565,0.009950453571604592
