degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,33.09090909090909,1.2727272727272727,0.2727272727272727,0.0043859649122807015,0.2727272727272727
2,31.7,2.7,0.7,0.008771929824561403,0.9727272727272727
3,23.333333333333332,3.5,0.5,0.013157894736842105,1.4727272727272727
4,15.75,4.0,0.0,0.017543859649122806,1.4727272727272727
5,18.333333333333332,5.666666666666667,0.6666666666666666,0.02192982456140351,2.139393939393939
6,16.5,6.5,0.5,0.02631578947368421,2.639393939393939
7,20.0,7.0,0.0,0.030701754385964914,2.639393939393939
8,22.5,8.5,0.5,0.03508771929824561,3.139393939393939
9,3.0,9.0,0.0,0.03947368421052632,3.139393939393939
10,8.5,11.0,1.0,0.04385964912280702,4.139393939393939
11,2.0,11.0,0.0,0.04824561403508772,4.139393939393939
12,8.0,13.0,1.0,0.05263157894736842,5.139393939393939
18,5.0,18.0,0.0,0.07894736842105263,5.139393939393939
21,0.0,21.0,0.0,0.09210526315789473,5.139393939393939
22,9.0,22.0,0.0,0.09649122807017543,5.139393939393939
