degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
2,131.25,7.25,5.25,0.00038037276531000376,5.25
3,125.42857142857143,8.357142857142858,5.357142857142857,0.0005705591479650058,10.607142857142858
4,133.7,7.8,3.8,0.0007607455306200075,14.407142857142858
5,132.3,10.2,5.2,0.0009509319132750096,19.607142857142858
6,103.14285714285714,12.857142857142858,6.857142857142857,0.0011411182959300116,26.464285714285715
7,97.0,12.75,5.75,0.0013313046785850132,32.214285714285715
8,103.11111111111111,12.666666666666666,4.666666666666667,0.001521491061240015,36.88095238095238
9,73.0,16.5,7.5,0.001711677443895017,44.38095238095238
10,91.25,14.75,4.75,0.0019018638265500191,49.13095238095238
11,136.0,18.0,7.0,0.0020920502092050207,56.13095238095238
12,137.66666666666666,15.0,3.0,0.0022822365918600232,59.13095238095238
13,130.0,20.5,7.5,0.002472422974515025,66.63095238095238
14,89.66666666666667,17.0,3.0,0.0026626093571700264,69.63095238095238
15,105.0,19.714285714285715,4.714285714285714,0.002852795739825029,74.34523809523809
16,94.0,22.0,6.0,0.0030429821224800305,80.34523809523809
17,141.0,27.0,10.0,0.003233168505135032,90.34523809523809
18,146.33333333333334,24.0,6.0,0.003423354887790034,96.34523809523809
19,107.0,21.5,2.5,0.003613541270445036,98.84523809523809
20,67.0,20.666666666666668,0.6666666666666666,0.003803727653100038,99.51190476190476
22,79.0,24.333333333333332,2.3333333333333335,0.0041841004184100415,101.84523809523809
23,69.5,23.5,0.5,0.004374286801065044,102.34523809523809
24,172.0,26.0,2.0,0.0045644731837200464,104.34523809523809
25,101.66666666666667,28.0,3.0,0.004754659566375047,107.34523809523809
26,105.0,27.5,1.5,0.00494484594903005,108.84523809523809
27,87.5,28.5,1.5,0.00513503233168505,110.34523809523809
28,120.66666666666667,29.0,1.0,0.005325218714340053,111.34523809523809
29,47.0,29.666666666666668,0.6666666666666666,0.0055154050969950545,112.01190476190476
31,122.0,31.5,0.5,0.0058957778623050594,112.51190476190476
32,136.2,32.0,0.0,0.006085964244960061,112.51190476190476
33,137.28571428571428,33.0,0.0,0.006276150627615064,112.51190476190476
34,48.083333333333336,34.0,0.0,0.006466337010270064,112.51190476190476
42,15.0,85.0,43.0,0.00798782807151008,155.51190476190476
53,14.0,76.0,23.0,0.0100798782807151,178.51190476190476
55,10.0,93.0,38.0,0.010460251046025104,216.51190476190476
59,27.0,71.0,12.0,0.011220996576645112,228.51190476190476
61,17.0,86.0,25.0,0.011601369341955116,253.51190476190476
62,21.0,92.0,30.0,0.011791555724610115,283.51190476190476
63,5.0,93.0,30.0,0.01198174210726512,313.51190476190476
64,22.5,88.5,24.5,0.012171928489920122,338.01190476190476
65,26.0,90.0,25.0,0.012362114872575124,363.01190476190476
66,11.0,68.0,2.0,0.012552301255230124,365.01190476190476
69,12.0,83.0,14.0,0.013122860403195132,379.01190476190476
74,19.0,116.0,42.0,0.01407379231647014,421.01190476190476
77,20.0,96.0,19.0,0.014644351464435146,440.01190476190476
78,34.0,108.0,30.0,0.014834537847090146,470.01190476190476
82,31.0,94.0,12.0,0.015595283377710156,482.01190476190476
83,3.0,105.0,22.0,0.015785469760365156,504.01190476190476
86,7.0,116.0,30.0,0.016356028908330163,534.0119047619048
87,18.0,116.0,29.0,0.016546215290985166,563.0119047619048
89,4.0,109.0,20.0,0.01692658805629517,583.0119047619048
92,23.0,112.0,20.0,0.017497147204260176,603.0119047619048
95,25.0,107.0,12.0,0.018067706352225186,615.0119047619048
100,28.0,108.0,8.0,0.019018638265500192,623.0119047619048
101,9.0,117.0,16.0,0.019208824648155192,639.0119047619048
104,6.0,113.0,9.0,0.0197793837961202,648.0119047619048
105,8.0,129.0,24.0,0.0199695701787752,672.0119047619048
112,27.5,120.5,8.5,0.021300874857360208,680.5119047619048
116,16.0,133.0,17.0,0.022061620387980218,697.5119047619048
123,29.0,135.0,12.0,0.023392925066565238,709.5119047619048
137,24.0,149.0,12.0,0.02605553442373526,721.5119047619048
138,30.0,141.0,3.0,0.026245720806390264,724.5119047619048
174,1.0,181.0,7.0,0.03309243058197033,731.5119047619048
177,2.0,183.0,6.0,0.03366298972993534,737.5119047619048
