degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,224.29473684210527,1.236842105263158,0.23684210526315788,0.001050420168067225,0.23684210526315788
2,214.9493670886076,2.2151898734177213,0.21518987341772153,0.0021008403361344546,0.4520319786808794
3,237.64814814814815,3.574074074074074,0.5740740740740741,0.0031512605042016795,1.0261060527549535
4,228.67741935483872,4.612903225806452,0.6129032258064516,0.004201680672268908,1.6390092785614052
5,263.4761904761905,5.095238095238095,0.09523809523809523,0.005252100840336133,1.7342473737995006
6,343.6666666666667,7.333333333333333,1.3333333333333333,0.006302521008403361,3.0675807071328336
7,105.33333333333333,7.0,0.0,0.007352941176470587,3.0675807071328336
8,237.0,8.0,0.0,0.008403361344537815,3.0675807071328336
9,251.66666666666666,9.0,0.0,0.009453781512605041,3.0675807071328336
10,4.0,13.0,3.0,0.01050420168067227,6.067580707132834
11,71.0,19.0,8.0,0.011554621848739495,14.067580707132834
13,58.0,18.0,5.0,0.01365546218487395,19.067580707132834
14,457.0,19.0,5.0,0.014705882352941175,24.067580707132834
17,108.0,28.0,11.0,0.017857142857142856,35.067580707132834
30,146.0,31.0,1.0,0.031512605042016806,36.067580707132834
