degree_x,node,degree_y,degree_increase,degree_prob_x,cummulative_increase
1,608.6966292134831,2.3258426966292136,1.3258426966292134,0.0010020040080160328,1.3258426966292134
2,513.425,2.95,0.95,0.0020040080160320653,2.2758426966292133
3,504.9298245614035,4.333333333333333,1.3333333333333333,0.0030060120240480983,3.609176029962547
4,432.1666666666667,6.033333333333333,2.033333333333333,0.00400801603206413,5.64250936329588
5,428.1875,6.3125,1.3125,0.00501002004008016,6.95500936329588
6,302.6,7.3,1.3,0.006012024048096192,8.25500936329588
7,649.8,8.0,1.0,0.007014028056112226,9.25500936329588
8,277.6,8.0,0.0,0.008016032064128256,9.25500936329588
9,181.0,13.666666666666666,4.666666666666667,0.009018036072144285,13.921676029962548
13,194.0,17.5,4.5,0.013026052104208416,18.421676029962548
16,8.0,16.0,0.0,0.016032064128256508,18.421676029962548
25,50.0,29.0,4.0,0.0250501002004008,22.421676029962548
33,11.0,33.0,0.0,0.033066132264529056,22.421676029962548
