ratio_pair,best_feature,best_feature_std,node2vec,node2vec_std,collection_feature,collection_feature_std,line,line_std,struct2vec,struct2vec_std,deepwalk,deepwalk_std,sdne,sdne_std,ensemble,ensemble_std,ratio_all
0.01,0.520141242937853,0.0641264262328542,0.5270212351451393,0.053252871279330885,0.5186430937073837,0.06967484836085949,0.5073154100915644,0.04003828726522086,0.504210013637249,0.028490087296521752,0.5034716540035067,0.08400370224366388,0.507482953438535,0.05122330824894244,0.5181200077927138,0.052917218382792126,0.0001159285879897983
0.02,0.5480060773776878,0.06171738753943994,0.5447570953206108,0.061661313631108564,0.5360520108750092,0.04892072334143507,0.5295901128184813,0.02713906295304695,0.5071097845362462,0.03423989449693327,0.5126813437555315,0.06252605690013012,0.5309834669029367,0.03617735526193584,0.5350425821566897,0.034172483352574876,0.000380632197233171
0.03,0.5224453978860579,0.07490172575616039,0.5422869839504465,0.04478651457084067,0.5340627512990357,0.05147707065072051,0.5289721206442471,0.026358947095191685,0.5186069400297763,0.025171092177785123,0.5649885779609065,0.044875515319573005,0.5317171508460544,0.04202463043276404,0.5503224646935461,0.040050104247558484,0.0007921786845969548
0.04,0.5500153324647244,0.04825772270098715,0.5724622509283946,0.05838848447708856,0.5468289107329111,0.04630857007349309,0.5304336307018117,0.032630360141254366,0.5259539328046807,0.036202795298957195,0.5504097535203945,0.048135428424937524,0.5536462851138289,0.03172210143759057,0.5610247831885284,0.04418221179500725,0.0017215395316485045
0.05,0.532653112364338,0.06532802340726274,0.594764099258979,0.04092370193535102,0.542160559786772,0.054765578091232066,0.5361079886292501,0.02861792634352729,0.5245447223330792,0.02910206527711637,0.600170087260747,0.025248320285287427,0.5581520225579307,0.04639458047724611,0.581351219921365,0.04109256775538067,0.002531107504443929
0.06,0.5551703227195163,0.06805822790993472,0.5971201679279151,0.04883843404082819,0.5611138292499136,0.04136596476147183,0.5403985039338393,0.03422388895570278,0.5395229008269267,0.028299581695679733,0.6090389297993706,0.052110457137259446,0.5626476196919457,0.04069156435876943,0.5897466641322516,0.060714118300169186,0.003493314784759256
0.07,0.564997254188665,0.050790157575188226,0.614384024015528,0.0405144024497659,0.5568323381577901,0.051640610029545404,0.5449560848917709,0.02978728545655937,0.5398464146631362,0.030139481204521937,0.6395557202240314,0.041059551289013715,0.5676195182938728,0.028013460387701188,0.6171474943036657,0.03539300902994869,0.0046081613725944826
0.08,0.5495062072249011,0.06504968882422658,0.6087622415256005,0.05442591421901907,0.5715841703713593,0.036180134107583466,0.5609107191798863,0.022689929776822586,0.5462212492388492,0.038178358341380725,0.6307249702135087,0.04255610116926175,0.5689625384984627,0.042436776546985175,0.6134605626622232,0.04659538929080609,0.006573150939021562
0.09,0.5705073406503748,0.031682100676380914,0.6283519071833998,0.05349248662946926,0.5671239565320604,0.04235685060649801,0.5568024855804318,0.02151325702741533,0.5457457695187974,0.032730884057253926,0.6497586056896686,0.05423099090902898,0.5744178961783971,0.04897318343328264,0.6158278663522754,0.05201256625014828,0.00805703686529098
0.1,0.5556265194459978,0.03298809052571974,0.640636047346288,0.05207167109025888,0.5918975956348813,0.03376139726466533,0.5683361222912608,0.021917007918344795,0.5570675043553132,0.01647946140969423,0.6478941503432679,0.06103399536078891,0.5858241946107005,0.04229079621005868,0.6251504798069663,0.040558859578046086,0.009691629955947138
