ratio_pair,best_feature,best_feature_std,node2vec,node2vec_std,collection_feature,collection_feature_std,line,line_std,struct2vec,struct2vec_std,deepwalk,deepwalk_std,sdne,sdne_std,ensemble,ensemble_std,ratio_all
0.01,0.5696484311748465,0.026469715964401914,0.6506802335786686,0.056586248720452474,0.603108803354955,0.03904422496897136,0.5322757251538618,0.023723308091735708,0.5291306079767264,0.030369855883474368,0.6202120863285858,0.05206945831783645,0.5353434352093377,0.04478537025079061,0.5856598332047468,0.05571349048439189,5.258745144342632e-05
0.02,0.5764391718254032,0.01734401293682062,0.6726672540004028,0.022879969511390832,0.6296963899732672,0.02691638575881915,0.5419437275751486,0.016433125764087002,0.5322206829949528,0.021864550650637013,0.6480398842482944,0.018440264542304963,0.5522798655461727,0.03025171579033315,0.612622298809271,0.040089786616135235,0.00017016505514240787
0.03,0.5660526693875996,0.03365699073027546,0.6817366748512542,0.02509468738188763,0.6165710493022674,0.03217365256978532,0.5479163517438892,0.02184632682706369,0.5408977103582017,0.02314418556103728,0.657513410603467,0.02867329692902891,0.5755069575804124,0.027947998881496447,0.6373091908425222,0.04164655532720407,0.00035322891912942955
0.04,0.578934939439888,0.016990644883418518,0.7074005473997828,0.02103309131019838,0.6329441581219367,0.029089920715730955,0.5566779462335714,0.020028104982868677,0.536075065728254,0.021336127945237093,0.6649044235063762,0.0223782493384547,0.5995410286992325,0.02071056876200517,0.6648446519287001,0.026422796298084444,0.0006171583924115317
0.05,0.5784141155794381,0.017831635265350042,0.7062129431532511,0.025143244881578847,0.6442386404557415,0.03230093584221982,0.5647453707341705,0.018991326253386346,0.5500157503343102,0.023485750431667535,0.6877618023302293,0.02173668138508614,0.6078394641196452,0.03982392440419963,0.6780142757476967,0.03729584477495774,0.0009351636412345156
0.06,0.5825833581295766,0.017113299056411513,0.7125256256348693,0.022811058762762487,0.6398119076690505,0.025481260546959518,0.5767889377973412,0.01817857925652847,0.55694193916883,0.026221892761494836,0.7077705783167968,0.019989059482579945,0.6303911479121564,0.03128412440917848,0.6883394041377234,0.045779673443162534,0.0013186551503455394
0.07,0.5846979315664578,0.010322316347878389,0.728182338506815,0.01811153819414778,0.6514988847420657,0.019361078283780416,0.582063956754298,0.013953780975041213,0.572517900300873,0.018928034279285886,0.7183610469449604,0.017950881324483525,0.6402428460450816,0.02311263395380341,0.7023512898081318,0.028026290262964017,0.001855195987478234
0.08,0.5829489730956408,0.009991745878681313,0.7527261089867339,0.016379102383914147,0.6564700325585415,0.021594174610758163,0.593400035124259,0.013714937409625138,0.5820399785412731,0.018572773457338685,0.7235998317877287,0.016688948877791668,0.6456217302539237,0.015766658256123733,0.7310507024165764,0.032142362680798724,0.0023686678011003675
0.09,0.5847731739160311,0.011651897272335187,0.7656267436267437,0.014668291601404452,0.6675686112828969,0.014723009331403492,0.6027153679653681,0.01290890466960998,0.5841782622139765,0.020606868015091213,0.7468973407544836,0.015237707283518887,0.6750089500446643,0.024232974132345653,0.7477613894042465,0.031272815671775346,0.002959532467790186
0.1,0.5843298320904645,0.01292768178666478,0.763887088877121,0.01827947361849485,0.6614868563944107,0.01669831587389466,0.6076430068222933,0.01584934417078268,0.5919708074435786,0.016674848482541336,0.7503674204679818,0.013457953801962897,0.6683176887252084,0.0196867018683642,0.7511623791189759,0.03891871688093349,0.0037406545649380615
